NAME,X,Y
Waller County Courthouse,-96.0733,30.0966
Waller ISD Admin Building,-95.92418,30.06318
Turlington Elementary School,-95.84133,30.11524
Fieldstore Elementary School,-95.93049,30.1672
Prairie View City Hall,-95.99833,30.07405
Monaville JP 3 Building,-96.04124,29.95116
Waller County Library at Brookshire,-95.95013,29.78419
Katy VFW Hall,-95.82107,29.79082
St Bartholomew Episcopal Church,-96.08369,30.0971
Waller County Annex,-96.07612,30.09739
Hempstead High School Library,-96.07791,30.08444
Waller County Fairgrounds,-96.03724,30.07735
Rolling Hills Vol. Fire Dept,-96.01996,30.16894
Memorial Student Center,-95.99291,30.07274
Monaville Fire Dept,-95.99348,29.96887
Adam’s Flat Building,-95.99395,29.91781
Mt Zion Methodist Church,-96.0592,29.8885
Pattison VFW,-95.98437,29.82125
Brookshire Convention Center,-95.9561,29.78526
Igloo,-95.9014,29.78424
