PRECINCT,COUNT,X,Y
101,1903,-96.08369,30.0971
102,1773,-96.07612,30.09739
103,1377,-96.07791,30.08444
104,802,-96.03724,30.07735
105,796,-96.01996,30.16894
206,2736,-95.93049,30.1672
207,3476,-95.84133,30.11524
208,1649,-95.92418,30.06318
309,4834,-95.99291,30.07274
310,2003,-95.99833,30.07405
311,788,-96.04124,29.95116
312,1642,-95.99348,29.96887
313,628,-95.99395,29.91781
414,358,-96.0592,29.8885
415,1353,-95.98437,29.82125
416,1541,-95.9561,29.78526
417,1308,-95.95013,29.78419
418,2514,-95.9014,29.78424
419,1532,-95.82107,29.79082
